
8queens-11 th1 7695 13260 8061 97 3285
8queens-12 th1 41427 78476 44558 289 14920
8queens-13 th1 205961 382604 213714 543 74557
8queens-14 th1 1197868 2270396 1261691 917 366576
shortest-twitter th1 3965039 6405646 4651227 19775 4532665
shortest-usairports500 th1 54808 95964 66474 384 164372
shortest-oclinks th1 1417730 1797628 1764152 5735 2203536
shortest-uspowergrid th1 1795899 5846204 5630637 20339 24426669
shortest-email th1 1241359 2485405 1620643 2294 3085504
new-heat-transfer-80 th1 8555 16380 8844 12 63360
new-heat-transfer-120 th1 19174 65644 19899 15 143040
belief-propagation-50 th1 139786 524284 275170 17 34400
belief-propagation-200 th1 2480372 8388604 4897539 21 557600
belief-propagation-300 th1 6688566 16775164 13258162 21 1256400
belief-propagation-400 th1 8626791 33552380 16974215 22 2235200
min-max-tictactoe th1 1837938 4194188 33 17 2
min-max-tictactoe-big th1 15264646 33554316 33 20 2
