
belief-propagation-50 th1 136692 344130 273369 84 34400
belief-propagation-200 th1 2431040 7601763 4869244 109 557600
belief-propagation-300 th1 6569893 21507171 13194627 117 1256400
belief-propagation-400 th1 8432834 21756003 16861377 119 2235200
new-heat-transfer-80 th1 13835 3164988 14828 89 63360
new-heat-transfer-120 th1 31051 12621540 33413 97 143040
min-max-tictactoe th1 1820927 4358240 31 129 2
8queens-11 th1 1371 49675 764 43 3285
8queens-12 th1 5061 197134 3067 45 14920
8queens-13 th1 21358 1573394 15039 48 74557
8queens-14 th1 97583 12583573 75068 52 366576
shortest-usairports500 th1 37281 352332 15239 106 255960
shortest-oclinks th1 144685 1434980 64804 137 875181
shortest-uspowergrid th1 226283 2787798 283241 140 4899837
shortest-email th1 485143 3465351 429879 181 3963189
